periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada,poblacion_edad_trabajar,tasa_neta_ocupacion
2007,2,Aguascalientes,Mujeres,160217.0,401598.0,39.89486999
2007,2,Baja California,Hombres,773031.0,1026768.0,75.28779627
2007,2,Baja California,Mujeres,477647.0,1080388.0,44.21069097
2007,2,Baja California Sur,Hombres,162767.0,200835.0,81.04513655
2007,2,Baja California Sur,Mujeres,83971.0,197570.0,42.50189806
2007,2,Campeche,Hombres,211573.0,259199.0,81.62570072
2007,2,Campeche,Mujeres,112155.0,278922.0,40.21016628
2007,2,Coahuila,Hombres,686149.0,891433.0,76.97146056
2007,2,Coahuila,Mujeres,359973.0,949225.0,37.92283178
2007,2,Colima,Hombres,163823.0,207915.0,78.79325686
2007,2,Colima,Mujeres,104978.0,235850.0,44.51049396
2007,2,Chiapas,Hombres,1127704.0,1336060.0,84.40519138
2007,2,Chiapas,Mujeres,459625.0,1504198.0,30.55615019
2007,2,Chihuahua,Hombres,911729.0,1161367.0,78.50481372
2007,2,Chihuahua,Mujeres,460532.0,1208119.0,38.11975476
2007,2,Ciudad de México,Hombres,2238355.0,3061406.0,73.11526142
2007,2,Ciudad de México,Mujeres,1644246.0,3614326.0,45.49246526
2007,2,Durango,Hombres,386371.0,507101.0,76.19211952
2007,2,Durango,Mujeres,188174.0,568739.0,33.08617837
2007,2,Guanajuato,Hombres,1227356.0,1581005.0,77.63138004
2007,2,Guanajuato,Mujeres,749701.0,1937573.0,38.69278732
2007,2,Guerrero,Hombres,728199.0,931435.0,78.18033464
2007,2,Guerrero,Mujeres,485808.0,1155404.0,42.0465915
2007,2,Hidalgo,Hombres,610580.0,790781.0,77.21227495
2007,2,Hidalgo,Mujeres,335276.0,960146.0,34.91927269
2007,2,Jalisco,Hombres,1815529.0,2264352.0,80.17874429
2007,2,Jalisco,Mujeres,1155201.0,2579713.0,44.78021392
2007,2,México,Hombres,3637741.0,4773311.0,76.21001439
2007,2,México,Mujeres,2070995.0,5389213.0,38.42852379
2007,2,Michoacán,Hombres,1008232.0,1278112.0,78.88447961
2007,2,Michoacán,Mujeres,614861.0,1597421.0,38.49085495
2007,2,Morelos,Hombres,422464.0,546503.0,77.30314381
