periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada_asalariada,poblacion_ocupada,tasa_trabajo_asalariado
2006,2,Guanajuato,Hombres,687130.0,1194697.0,57.51500171
2006,2,Guanajuato,Mujeres,447285.0,735394.0,60.82249787
2006,2,Guerrero,Hombres,292795.0,727393.0,40.25265572
2006,2,Guerrero,Mujeres,207595.0,477217.0,43.50117452
2006,2,Hidalgo,Hombres,306915.0,615049.0,49.9009022
2006,2,Hidalgo,Mujeres,186445.0,359108.0,51.91892133
2006,2,Jalisco,Hombres,1048000.0,1778276.0,58.93348389
2006,2,Jalisco,Mujeres,675354.0,1086948.0,62.13305512
2006,2,México,Hombres,2352851.0,3602496.0,65.31168945
2006,2,México,Mujeres,1356114.0,2044134.0,66.34173689
2006,2,Michoacán,Hombres,489205.0,989244.0,49.45241012
2006,2,Michoacán,Mujeres,313005.0,657945.0,47.57312541
2006,2,Morelos,Hombres,257430.0,424689.0,60.61612144
2006,2,Morelos,Mujeres,160151.0,268713.0,59.59927506
2006,2,Nayarit,Hombres,138978.0,264649.0,52.51408469
2006,2,Nayarit,Mujeres,89778.0,161367.0,55.63591069
2006,2,Nuevo León,Hombres,866839.0,1205841.0,71.88667494
2006,2,Nuevo León,Mujeres,482613.0,664557.0,72.62176156
2006,2,Oaxaca,Hombres,334914.0,852831.0,39.27085202
2006,2,Oaxaca,Mujeres,192751.0,538693.0,35.78123347
2006,2,Puebla,Hombres,710663.0,1330063.0,53.43077734
2006,2,Puebla,Mujeres,451564.0,883958.0,51.08432754
2006,2,Querétaro,Hombres,248791.0,383122.0,64.93780049
2006,2,Querétaro,Mujeres,177560.0,255451.0,69.50843802
2006,2,Quintana Roo,Hombres,211533.0,326617.0,64.7648469
2006,2,Quintana Roo,Mujeres,125523.0,193176.0,64.97856877
2006,2,San Luis Potosí,Hombres,325560.0,589261.0,55.24886256
2006,2,San Luis Potosí,Mujeres,198861.0,334135.0,59.51516603
2006,2,Sinaloa,Hombres,413951.0,729450.0,56.74837206
2006,2,Sinaloa,Mujeres,246037.0,417112.0,58.98583594
2006,2,Sonora,Hombres,403985.0,631272.0,63.99539343
2006,2,Sonora,Mujeres,258389.0,369050.0,70.01463216
